error_type,target,predicted
case_error,"""Go down to Records,"" he commanded, ""and ask 'em for anything they've got in which anything like this figured."" It was only ten minutes before the man returned, bearing with him a small bundle of papers.","""Go down to records,"" he commanded, ""and ask 'em for anything they've got in which anything like this figured."" It was only ten minutes before the man returned, bearing with him a small bundle of papers."
case_error,"In the centre had been sketched a design similar to that on the silver triangle of Prester John, and underneath was roughly scrawled, ""_February, 1899_."" ""Mr.","In the centre had been sketched a design similar to that on the silver triangle of prester John, and underneath was roughly scrawled, ""_February, 1899_."" ""Mr."
case_error,"Blaythwayt,"" said Storm, ""has just received through the post a similar card, and all that's written under the triangle is _Harchester_.","Blaythwayt,"" said Storm, ""has just received through the post a similar card, and all that's written under the Triangle is _Harchester_."
case_error,"""Teal, this is going to be Big!"" CHAPTER II TITTLE-TATTLE OF MR.","""Teal, this is going to be big!"" Chapter Ii tittle-tattle of Mr."
case_error,TEAL Inspector Teal was that unusual type of man who literally takes both pride and pleasure in his employment.,Teal Inspector Teal was that unusual type of man who literally takes both pride and pleasure in his employment.
case_error,"His leisure hours would always find him sauntering round the preserves of other divisions, listening to gossip in public houses and at coffee stalls, entering queer and unregistered ""clubs,"" and paying friendly calls on eccentric gentlemen not unknown to the Records Office.","His leisure hours would always find him sauntering round the preserves of other divisions, listening to gossip in public houses and at coffee stalls, entering queer and unregistered ""clubs,"" and paying friendly calls on eccentric gentlemen not unknown to the records office."
case_error,"""Good morning, Snooper,"" said Mr.","""Good morning, snooper,"" said Mr."
case_error,"""How's trade?"" ""Not too bad,"" said Snooper--trade, with him, was always either ""not too bad"" or ""not too good""--""Have a cigar?"" The sample he offered was undoubtedly a weed of great price, and Mr.","""How's trade?"" ""Not too bad,"" said Snooper--trade, with him, was always either ""not too bad"" or ""not too good""--""have a cigar?"" The sample he offered was undoubtedly a weed of great price, and Mr."
case_error,"""Quite easily.","""quite easily."
case_error,He has the most cherubic blue eyes.,He has the most Cherubic blue eyes.
case_error,Brome shrugged.,brome shrugged.
case_error,"""I'm afraid my acquaintance with the criminal fraternity won't help him.","""I'm afraid my acquaintance with the Criminal fraternity won't help him."
case_error,"""Strange as it may seem, I was once educated."" ""I have met a _Mister_ Sands.","""Strange as it may seem, I was once educated."" ""I have met a _mister_ sands."
case_error,"Who's this 'Birdie' Sands?"" ""A gentleman,"" said Mr.","Who's this 'birdie' sands?"" ""A gentleman,"" said Mr."
case_error,"Teal, ""who used to be on the whizz."" ""On _what_?"" demanded the startled Snooper.","Teal, ""who used to be on the whizz."" ""On _what_?"" demanded the startled snooper."
case_error,"""Go straight?"" jeered Teal drowsily.","""Go straight?"" Jeered teal drowsily."
case_error,"When shall I bring my friend along?"" ""Shall we say Sunday?"" invited Mr.","When shall I bring my friend along?"" ""Shall we say sunday?"" invited Mr."
case_error,"On his way back to the Yard he dropped in at Walton Street police station, near the Brompton Road, for a chat with the divisional-inspector.","On his way back to the yard he dropped in at Walton Street Police Station, near the Brompton Road, for a chat with the divisional-inspector."
case_error,"While he was there a lank, saturnine man entered jauntily.","While he was there a lank, Saturnine man entered jauntily."
case_error,"The man was educated--Teal knew that, for he himself had arrested Mattock for his first and only crime.","The man was educated--teal knew that, for he himself had arrested Mattock for his first and only crime."
case_error,"""You don't love him much, do you?"" ""Would you?"" countered the other.","""You don't love him much, do you?"" ""would you?"" countered the other."
case_error,"""What exactly are you trying to do, Teal--rub in my disgrace, or persuade me to commit another crime so that you can make me a thorough old lag?"" Mr.","""What exactly are you trying to do, teal--rub in my disgrace, or persuade me to commit another crime so that you can make me a thorough old lag?"" Mr."
case_error,"""He thawed after a bit, but since he was liquid air to start with he wasn't much better than an iceberg even then.","""He thawed after a bit, but since he was liquid air to start with he wasn't much better than an Iceberg even then."
case_error,"One of the Somerset Mattocks--they had pots of money once, and then went bust.","One of the somerset mattocks--they had pots of money once, and then went bust."
case_error,"One said simply, ""_Harchester_."" ""That's your pal Blaythwayt's."" On the second was written, ""_March 23rd, 1897_."" ""That was received this morning by the Home Secretary, Sir John Marker,"" said Storm.","One said simply, ""_Harchester_."" ""That's your pal Blaythwayt's."" On the second was written, ""_March 23rd, 1897_."" ""That was received this morning by the home secretary, Sir John marker,"" said Storm."
case_error,"The third similarly bore a date: ""_December 2nd, 1899_."" ""That one went to John Cardan, editor of the _Record_."" Storm's faint smile played about his lips.","The third similarly bore a date: ""_December 2nd, 1899_."" ""That one went to John Cardan, editor of the _record_."" Storm's faint smile played about his lips."
case_error,"""Give me time, sir,"" he murmured.","""give me time, sir,"" he murmured."
case_error,"He concluded an unproductive round of investigations by spending the evening at a house in the Finchley Road, where dwelt Joe Blaythwayt, manager of the Lombard Street branch of the City and Continental Bank.","He concluded an unproductive round of investigations by spending the evening at a house in the Finchley Road, where dwelt Joe Blaythwayt, manager of the lombard street branch of the city and continental bank."
case_error,"I shall never be caught."" ""Let's hope not,"" grunted Teal.","I shall never be caught."" ""Let's hope not,"" grunted teal."
case_error,"During the intervals of the game, he recounted his experiences of the day, for Blaythwayt was a great student of contemporary crime.","during the intervals of the game, he recounted his experiences of the day, for Blaythwayt was a great student of contemporary crime."
case_error,"""I think you must peeve Snooper,"" said Blaythwayt.","""I think you must peeve snooper,"" said Blaythwayt."
case_error,"Look at _Raffles_."" ""You didn't write _Raffles_,"" said Mr.","Look at _raffles_."" ""You didn't write _raffles_,"" said Mr."
case_error,"He got into Special Branch through the Assistant Commissioner, and he's all right--you can take that from me.","He got into special branch through the assistant commissioner, and he's all right--you can take that from me."
case_error,"Well, he may have picked up a bit on his travels--according to you, he's tackled a few risky and paying jobs--but you can't go pearling or bootlegging or running revolutions without capital."" ""I know that one,"" murmured the somnambulous Teal.","Well, he may have picked up a bit on his travels--according to you, he's tackled a few risky and paying jobs--but you can't go pearling or bootlegging or running revolutions without capital."" ""I know that one,"" murmured the somnambulous teal."
case_error,"""An uncle died and left him ten thousand.","""An Uncle died and left him ten thousand."
case_error,"What are you getting at, Joe?"" ""You ought to play about a bit in Somerset House,"" said Blaythwayt.","What are you getting at, Joe?"" ""You ought to play about a bit in somerset house,"" said Blaythwayt."
case_error,"He found Storm arrayed in a suit of wonderfully jazzed silk pyjamas and a staggering silk dressing-gown, seated in a comfortable armchair in front of the open window, his bare feet propped up on the sill and a slim volume of Kipling On his knees.","He found Storm arrayed in a suit of wonderfully jazzed silk pyjamas and a staggering silk dressing-gown, seated in a comfortable armchair in front of the open window, his bare feet propped up on the sill and a slim volume of kipling on his knees."
case_error,"""What news, Teal?"" Mr.","""What news, teal?"" Mr."
case_error,"Harchester's a great Rugger school, and Joe used to be a star three-quarter before he put on weight.","Harchester's a great rugger school, and Joe used to be a star three-quarter before he put on weight."
case_error,"""That came round from the Yard after dinner.","""That came round from the yard after dinner."
case_error,"April the First is my birthday!"" CHAPTER III ADVANTAGES OF RESPECTABILITY Snooper Brome was not a man who was noted for his love of fresh air and exercise.","April the first is my birthday!"" Chapter Iii advantages of respectability Snooper brome was not a man who was noted for his love of fresh air and exercise."
case_error,"Satisfied at last that anyone who was interested in his destination had hurried onto the station by the overground route to pick him up again as he left the tunnel, Mr.","satisfied at last that anyone who was interested in his destination had hurried onto the station by the overground route to pick him up again as he left the tunnel, Mr."
case_error,"Brome turned about, left the subway where he had entered it, buttoned his coat over his fancy waistcoat, and made his way briskly into Queen's Gate.","Brome turned about, left the subway where he had entered it, buttoned his coat over his fancy waistcoat, and made his way briskly into Queen's gate."
case_error,There's a nice flat in Cornwall House waiting for someone to live in.,There's a nice flat in Cornwall house waiting for someone to live in.
case_error,"""No, no--not that--Good Lord, Joan!","""No, no--not that--good Lord, Joan!"
case_error,"Wouldn't have dreamed of suggesting it--don't know what made you imagine such a thing."" ""Brought up the way I was, you get that sort of imagination,"" she informed him coolly.","wouldn't have dreamed of suggesting it--don't know what made you imagine such a thing."" ""Brought up the way I was, you get that sort of imagination,"" she informed him coolly."
case_error,"Won't you think it over again, Joan?"" She looked at him through a wreath of smoke.","won't you think it over again, Joan?"" She looked at him through a wreath of smoke."
case_error,"""Who is the Apex--who are the Triangle, for that matter?"" she asked him directly, and his agitation froze into a menacing stillness.","""Who is the Apex--who are the Triangle, for that matter?"" She asked him directly, and his agitation froze into a menacing stillness."
case_error,"""My name happens to be Sands, with a Miss in front of it,"" she said steadily.","""My name happens to be sands, with a miss in front of it,"" she said steadily."
case_error,"""All this Joaning is getting on my nerves.","""All this joaning is getting on my nerves."
case_error,"I'll take on your job, Snooper, but listen to this: I came into this Triangle of yours on the understanding that the crooked side of it didn't touch me, and I meant it.","I'll take on your job, snooper, but listen to this: I came into this triangle of yours on the understanding that the crooked side of it didn't touch me, and I meant it."
case_error,"You're a crook, even if they don't know you on the Embankment--your brother's hardly ever out of stir, and the pair of you come straight from a family of crooks."" She opened the door and waved her hand towards the tiny hall.","You're a crook, even if they don't know you on the embankment--your brother's hardly ever out of stir, and the pair of you come straight from a family of crooks."" She opened the door and waved her hand towards the tiny hall."
case_error,"""I don't intend to breed a family of Triangles, anyway,"" she remarked, and closed the door in his face.","""I don't intend to breed a family of triangles, anyway,"" she remarked, and closed the door in his face."
case_error,"He found her already installed in the flat in Cornwall House, and looked around at the palatial furnishing perplexedly.","He found her already installed in the flat in Cornwall house, and looked around at the palatial furnishing perplexedly."
case_error,"""Two thousand a year, and we need it.","""two thousand a year, and we need it."
case_error,"""I don't know what it is,"" he said dully.","""I don't know what it is,"" he said Dully."
case_error,"""But, of course, I'm a fool anyway...."" He sank into a chair and covered his face with his hands.","""But, of course, I'm a fool anyway...."" he sank into a chair and covered his face with his hands."
case_error,"""I saw you this morning with a detective--Mr.","""I saw you this morning with a detective--mr."
case_error,"""The charge was barratry, champerty, and attempted gum-boils, with complications.","""The charge was Barratry, Champerty, and attempted Gum-boils, with complications."
case_error,"Raegenssen's being followed, and Sir John Marker's being followed, and Joe Blaythwayt's being followed, and John Cardan's being followed, and Sir John Marker's private secretary's being followed, and I'm being followed, and Inspector Teal's being followed, and----"" ""Don't you know what's at the back of it?"" ""I know what, but I'd perjure my soul to know who!"" said Storm.","Raegenssen's being followed, and Sir John marker's being followed, and Joe Blaythwayt's being followed, and John Cardan's being followed, and Sir John marker's private secretary's being followed, and I'm being followed, and Inspector Teal's being followed, and----"" ""Don't you know what's at the back of it?"" ""I know what, but I'd perjure my soul to know who!"" said Storm."
case_error,"We're inseparable, like Castor and Pollux or Swan and Edgar."" He waved a friendly hand to the small neatly dressed man at the adjoining table, and grinned when his salutation was coldly ignored.","We're inseparable, like Castor and Pollux or swan and Edgar."" He waved a friendly hand to the small neatly dressed man at the adjoining table, and grinned when his salutation was coldly ignored."
case_error,"That, old thing, is Comrade 'Gat' Morini, and for exactly four years all the policemen in New York and Chicago have been aching to put him in a hard chair and run two thousand volts through his spine.","That, old thing, is comrade 'Gat' Morini, and for exactly four years all the policemen in New York and Chicago have been aching to put him in a hard chair and run two thousand volts through his spine."
case_error,"He loves me all right--you can stake your socks on uncle!"" The gaiety of his smile was entirely unforced, and in spite of herself Susan shivered, although the steel showed behind his careless self-confidence.","He loves me all right--you can stake your socks on Uncle!"" The gaiety of his smile was entirely unforced, and in spite of herself Susan shivered, although the steel showed behind his careless self-confidence."
case_error,"""I'm Captain Arden, attached to the Special Branch at Scotland Yard."" ""Well?","""I'm captain Arden, attached to the special branch at Scotland Yard."" ""Well?"
case_error,"I hof an appointment for supper."" He was in evening dress, with a foreign-looking cloak over his shoulders, and his Viking beard overflowed the white expanse of his shirt-front.","I hof an appointment for supper."" He was in evening dress, with a foreign-looking cloak over his shoulders, and his viking beard overflowed the white expanse of his shirt-front."
case_error,"""He's got company--Morini trailed me home.","""He's got company--morini trailed me home."
case_error,"For sheer plodding industry, give me the Yankee gunman!"" He threw his hat and gloves into a chair and walked over to the side table on which a decanter and syphon stood.","For sheer plodding industry, give me the yankee gunman!"" He threw his hat and gloves into a chair and walked over to the side table on which a decanter and syphon stood."
case_error,"""Been helping yourself to a drink, Teal?"" he murmured.","""Been helping yourself to a drink, teal?"" he murmured."
case_error,Dear old Olaf the Seabird was quite rude.,Dear old olaf the seabird was quite rude.
case_error,"""Let's go to a moonlight picnic, Teal!"" he crisped, and picked up his hat as he sprang past the languid detective.","""Let's go to a moonlight picnic, teal!"" He crisped, and picked up his hat as he sprang past the Languid detective."
case_error,"They had just reached the foot of the steps when a spurt of flame leapt out of the darkness of Albany Court Yard, and something sang viciously past his head.","They had just reached the foot of the steps when a spurt of flame leapt out of the darkness of Albany court yard, and something sang viciously past his head."
case_error,"Storm was already at the wheel of his long silver Hirondel, and Mr.","Storm was already at the wheel of his long silver hirondel, and Mr."
case_error,"Teal climbed in beside him briskly, A crowd had already gathered in the yard, and Storm made his Klaxon howl urgently.","Teal climbed in beside him briskly, a crowd had already gathered in the yard, and Storm made his klaxon howl urgently."
case_error,"The Hirondel skidded hectically into Piccadilly, swinging straight across the nose of an omnibus.","The hirondel skidded hectically into Piccadilly, swinging straight across the nose of an Omnibus."
case_error,"They sailed down the slight gradient towards Hyde Park Corner, cutting in and owl of the stream of traffic with a daring that made Inspector Teal grip the side of the car hard and temporarily suspend mastication of his chewing gum.","They sailed down the slight gradient towards Hyde Park corner, cutting in and owl of the stream of traffic with a daring that made Inspector Teal grip the side of the car hard and temporarily suspend mastication of his chewing gum."
case_error,"Respectability--huh!"" CHAPTER IV TALKING OF TRIANGLES Susan Hawthorne saw the door of the library opening slowly, and her heart stood still.","Respectability--huh!"" Chapter Iv talking of Triangles Susan Hawthorne saw the door of the Library opening slowly, and her heart stood still."
case_error,"Storm and Inspector Teal were on the step, and Storm already had his automatic crammed against the Yale lock and his finger was on the trigger.","Storm and Inspector Teal were on the step, and Storm already had his automatic crammed against the yale lock and his finger was on the trigger."
case_error,"Stop!"" she cried, and he looked round.","Stop!"" She cried, and he looked round."
case_error,"""Morini's in the hall and the back door's broken in--he'll get you as you come in and escape easily!"" He only hesitated for a second.","""Morini's in the hall and the back door's broken in--he'll get you as you come in and escape easily!"" he only hesitated for a second."
case_error,"""All aboard for hell!"" She heard the explosion as she dashed across the room and opened the door wide.","""All aboard for hell!"" she heard the explosion as she dashed across the room and opened the door wide."
case_error,saw his gun leap up...,Saw his gun leap up...
case_error,and hurled the priceless vase she carried....,And hurled the priceless vase she carried....
case_error,Teal laid an unexpectedly gentle arm about the girl's shoulders and led her into the library.,Teal laid an unexpectedly gentle arm about the girl's shoulders and led her into the Library.
case_error,"""Only a graze--dear old Gat's going off, and I think I must be, too.","""only a graze--dear old gat's going off, and I think I must be, too."
case_error,"It's time some of us old soldiers retired--Gat and I wouldn't have missed each other in Chicago!"" ""He got away?"" said Teal.","It's time some of us old soldiers retired--gat and I wouldn't have missed each other in Chicago!"" ""He got away?"" said Teal."
case_error,"""Je-rusalem!","""Je-Rusalem!"
case_error,"The fireworks ought to have woken him if nothing else will."" Upstairs, after an unavailing assault on the door of Hannassay's bedroom, Storm went around to the adjoining bathroom, climbed out of the window, and edged his way perilously along a two-inch ledge with the assistance of a rickety drainpipe.","The fireworks ought to have woken him if nothing else will."" upstairs, after an unavailing assault on the door of Hannassay's bedroom, Storm went around to the adjoining bathroom, climbed out of the window, and edged his way perilously along a two-inch ledge with the assistance of a rickety drainpipe."
case_error,"""That's Prester John's work,"" he declared.","""That's prester John's work,"" he declared."
case_error,"""I know that jemmy of his--he invented it himself, and it's guaranteed to make a safe look like a sardine tin."" ""Get back to the Yard and send an all-station call for Morini and John,"" instructed Storm.","""I know that Jemmy of his--he invented it himself, and it's guaranteed to make a safe look like a Sardine tin."" ""Get back to the yard and send an all-station call for Morini and John,"" instructed Storm."
case_error,"It was an uncle of mine on my mother's side--I didn't know where he was, but in the City the other day I ran into Uncle Joe and he made me have lunch with him.","It was an uncle of mine on my mother's side--I didn't know where he was, but in the city the other day I ran into Uncle Joe and he made me have lunch with him."
case_error,"George's Hospital suffering from nothing more serious than a flesh wound in the thigh, and that a detective was already guarding him.","George's hospital suffering from nothing more serious than a flesh wound in the thigh, and that a detective was already guarding him."
case_error,"""Get hold of the Assistant Commissioner.","""Get hold of the assistant commissioner."
case_error,"It was a silver triangle similar to the one Inspector Teal had showed him, and had obviously been kicked out of sight when they charged in--it was barely visible except when it caught the light in a certain way.","It was a silver triangle similar to the one inspector Teal had showed him, and had obviously been kicked out of sight when they charged in--it was barely visible except when it caught the light in a certain way."
case_error,"""Oh, Captain Arden----"" His voice trailed away, and they saw him suddenly go white.","""Oh, Captain Arden----"" his voice trailed away, and they saw him suddenly go white."
case_error,"My God!---- Life's queer!"" ""Was it the Triangle you showed him?"" she asked.","My god!---- Life's queer!"" ""Was it the Triangle you showed him?"" she asked."
case_error,"CHAPTER V BLAYTHWAYT ON CLUES In spite of the hour, the nucleus of a crowd had already gathered outside, with that peculiar instinct for the morbid which is the gift of crowds; and Storm had to fight his way to a taxi through the first batch of eager reporters.","Chapter V Blaythwayt on clues in spite of the hour, the nucleus of a crowd had already gathered outside, with that peculiar instinct for the morbid which is the gift of crowds; and Storm had to fight his way to a taxi through the first batch of eager reporters."
case_error,"In spite of his own reticence, someone at the Yard had evidently talked unguardedly, for the stop-press columns were full of sensational hints in small closely set type.","In spite of his own reticence, someone at the yard had evidently talked unguardedly, for the stop-press columns were full of sensational hints in small closely set type."
case_error,"""I don't know what the law is in the States,"" he said, ""and I don't know if you know what it is over here.","""I don't know what the law is in the states,"" he said, ""and I don't know if you know what it is over here."
case_error,"Anyway, in England we have a thing called King's Evidence, and it's saved one or two people's necks before now."" Lew shook his head.","Anyway, in England we have a thing called King's evidence, and it's saved one or two people's necks before now."" Lew shook his head."
case_error,"""Quit kiddin', son,"" he advised.","""quit kiddin', son,"" he advised."
case_error,Take 'im outside an' tie a halo round 'is baby braow.,Take 'im outside an' tie a Halo round 'is baby braow.
case_error,"""Mecklen, you synthetic Americans make me tired!","""Mecklen, you synthetic americans make me tired!"
case_error,"In case you're interested, I'll say you're nothing more than a fourth-rate Hun thug, and your pal Morini's about as American as you are--which means he's a plain ornery Dago!"" He held a consultation with the house-surgeon, and was unaccountably annoyed at the report he received.","In case you're interested, I'll say you're nothing more than a fourth-rate hun thug, and your pal Morini's about as American as you are--which means he's a plain ornery dago!"" He held a consultation with the house-surgeon, and was unaccountably annoyed at the report he received."
case_error,He bought a copy of the _Evening Record_ and found the latest Fleet Street conjectures stunted across four columns and crowned with bloodcurdling headlines.,He bought a copy of the _evening record_ and found the latest fleet street conjectures stunted across four columns and crowned with bloodcurdling headlines.
case_error,"""He's going down through Spain, then to Teneriffe, and finishing up with a tour down the West African coast."" This was news to Storm, and, incidentally, an unexpected blessing for with Lord Hannassay out of the way a responsibility would be off his hands.","""He's going down through Spain, then to Teneriffe, and finishing up with a tour down the West African coast."" This was news to storm, and, incidentally, an unexpected blessing for with Lord Hannassay out of the way a responsibility would be off his hands."
case_error,"It was a highly business-like occasion--one of those colossal moments during which the most unassuming man is justified in donning horn-rimmed spectacles and a cigar, sticking his thumbs in the armholes of his waistcoat, and generally adopting the accent and demeanour of the Man of Big Business.","It was a highly business-like occasion--one of those colossal moments during which the most unassuming man is justified in donning horn-rimmed spectacles and a cigar, sticking his thumbs in the armholes of his waistcoat, and generally adopting the accent and demeanour of the man of big business."
case_error,"Oscar Raegenssen drove back to Cockspur Street, where he occupied a palatial suite of offices in Scandinavia House.","Oscar Raegenssen drove back to cockspur street, where he occupied a palatial suite of offices in scandinavia house."
case_error,His leonine head was set at an arrogant angle--he looked by no means an easy man to intimidate.,His Leonine head was set at an arrogant angle--he looked by no means an easy man to intimidate.
case_error,"""You forget my reputation, sir,"" he said gently.","""You forget my reputation, Sir,"" he said gently."
case_error,"Although Raegenssen's were vaguely described in the directory as ""Agents,"" the City knew them very little.","Although Raegenssen's were vaguely described in the directory as ""agents,"" the city knew them very little."
case_error,"""Next week ter will pe ingoming monies.","""Next week Ter will pe ingoming monies."
case_error,"Go!"" ""There was something I wanted to mention, sir, if you'll excuse me,"" Mattock said.","Go!"" ""There was something I wanted to mention, Sir, if you'll excuse me,"" Mattock said."
case_error,"Go!"" Towards three o'clock Raegenssen rose, tidied his desk, picked up his battered felt hat.","Go!"" towards three o'clock Raegenssen rose, tidied his desk, picked up his battered felt hat."
case_error,"""Have you your car outside, or shall I fetch a taxi?"" ""Ter gar is in St.","""Have you your car outside, or shall I fetch a taxi?"" ""Ter Gar is in St."
case_error,James's Square.,James's square.
case_error,He took up the telephone and gave a number in the City.,He took up the telephone and gave a number in the city.
case_error,"This Triangle affair--it's an awful nuisance, I know; but it can't be helped....","This triangle affair--it's an awful nuisance, I know; but it can't be helped...."
case_error,"Je-ru-salem, that's funny!...","Je-Ru-Salem, that's funny!..."
case_error,I'll pick you up at the _Record_ office in under ten minutes.,I'll pick you up at the _record_ office in under ten minutes.
case_error,"You know, sir, I always say a young man ought to get married.","You know, Sir, I always say a young man ought to get married."
case_error,"Well, believe me, sir, it made a new man of me, and when we had our First--that was four months after----"" ""Teal,"" said Storm awfully, ""you're shocking me.","Well, believe me, Sir, it made a new man of me, and when we had our first--that was four months after----"" ""Teal,"" said Storm awfully, ""you're shocking me."
case_error,"Go away and blow froth."" He collected Blaythwayt at the bank, and they parked the car in Salisbury Square and proceeded on foot to the Fleet Street restaurant where Joe had arranged to meet his niece.","Go away and blow froth."" He collected blaythwayt at the bank, and they parked the car in Salisbury square and proceeded on foot to the Fleet Street restaurant where Joe had arranged to meet his niece."
case_error,"Now, this Triangle, Captain Arden, is the very first time I've ever been mixed up in anything of the sort personally.","Now, this triangle, Captain Arden, is the very first time I've ever been mixed up in anything of the sort personally."
case_error,"""You're forgiven,"" she said, and the simple Joe blinked uncomprehendingly at the laughter that followed.","""You're forgiven,"" she said, and the simple joe blinked uncomprehendingly at the laughter that followed."
case_error,"You've heard what they've done already--tried to poison me, shot me up, and sent the gentle Gat gunning for Susan.","You've heard what they've done already--tried to poison me, shot me up, and sent the gentle gat gunning for Susan."
case_error,"But I guess if I got one of those little valentines I'd look under my bed before I got into it, whether they said, 'This is where you get yours,' or not!","But I guess if I got one of those little valentines I'd look under my bed before I got into it, whether they said, 'this is where you get yours,' or not!"
case_error,"""As I see it, Captain Arden, criminals would never be caught if they didn't leave Clues.","""As I see it, Captain Arden, criminals would never be caught if they didn't leave clues."
case_error,"And, as a detective, you will only run the Triangle to earth by looking for and following up Clues.","And, as a detective, you will only run the Triangle to Earth by looking for and following up clues."
case_error,The ordinary police methods of searching for Clues are inadequate.,The ordinary police methods of searching for clues are inadequate.
case_error,"The Detective should be above the Law."" Storm shook his head.","The detective should be above the law."" Storm shook his head."
case_error,"""I'm not a pukka detective,"" he said, ""and Teal owes me ten bob."" ""Are you being funny,"" demanded Susan, ""or is there likely to be more trouble?"" He looked at her steadily, eyes half closed, his cigarette between his lips.","""I'm not a Pukka detective,"" he said, ""and Teal owes me ten Bob."" ""Are you being funny,"" demanded Susan, ""or is there likely to be more trouble?"" he looked at her steadily, eyes half closed, his cigarette between his lips."
case_error,"""Are _you_ scared?"" ""I can't say I've thought about it seriously,"" confessed Joe.","""ARE _you_ scared?"" ""I can't say I've thought about it seriously,"" confessed Joe."
case_error,"Public men are bound to receive threatening letters, but they very rarely come to anything."" Storm would have liked to point out the minor coincidences of alcohol diluted with aconite, and firework displays in Albany Court Yard and Hamilton Place, but refrained.","Public men are bound to receive threatening letters, but they very rarely come to anything."" Storm would have liked to point out the minor coincidences of alcohol diluted with aconite, and firework displays in Albany court yard and Hamilton place, but refrained."
case_error,You'll like 'em--Terry Mannering's a great lad.,You'll like 'em--terry mannering's a great lad.
case_error,"It's nearly a quarter to three--please don't think I'm rude, my dear fellow, but Business..."" When Joe Blaythwayt spoke of weighty matters he always gave the impression that he talked in capital letters.","It's nearly a quarter to three--please don't think I'm rude, my dear fellow, but business..."" When Joe Blaythwayt spoke of weighty matters he always gave the impression that he talked in capital letters."
